乱前看不足	不足
乱后眼偏明	眼
却得蓬蒿力	力
遮藏见太平	太平
离家数日行山路	行
春在花枝亦不多	春
唯有惜春无限意	意
强扶衰病折残花	折
青松行尽到山门	青松
乱峰深处开方丈	深处
已能宴坐老山中	坐
何用声名传海上	海上
往返数百里	数
上下几重山	山
仆仆利名客	客
不知行路难	行路难
两岸尘埃终不到	尘埃
四檐风月冷无声	冷
路从碧树阴中断	路
人向红莲影里行	行
人间元有广寒宫	人间
谁道仙凡路不通	道
借问蓬莱相近否	蓬莱
不须七碗去乘风	不须
檐外雨初晴	外
幽禽四五声	五声
桃花无限思	桃花
留客看清明	清明
莫把金笼闭鹦鹉	闭
个个聪明解人语	解
忽然更向君前言	言
三十六宫愁几许	愁
直造悬崖上上关	悬崖
白云影里转身难	难
个中若使能通变	使
夺食驱耕总是闲	闲
寒沙日午雾犹含	雾
萧瑟风光三月三	风光
扑地柳花新燕子	新
不由人不忆江南	人
辋川竹里旧题诗	旧
画里如今似见之	画里
满耳秋声人不到	人
弹琴长笑月来时	月
衮衮河流到底黄	黄
谁言一苇便能杭	言
伤心击楫无人会	无人
举酒回头酹太行	回头
春天一夜雨滂沱	雨
添得溪流意气多	溪流
刚把山僧推倒却	山僧
不知到海后如何	到海
晚上危亭览物华	物华
斜阳影里度归鸦	度
暮山隔断乡关睡	睡
矫首临风眼欲花	临风
我望风烟接	接
君行霰雪飞	雪飞
园亭若有送	送
杨柳最依依	最
画角初鸣残照微	微
营营鞍马往来稀	稀
相逢士卒皆垂泪	相逢
八座朝天何日归	何日
柳色花光映晓云	映
半窗红日已东升	红日
行人隔水自相语	行人
无数莺啼闻不曾	闻
何用岩栖隐姓名	隐
一壶春酎可忘形	春
伯伦若有长生术	长生
直到如今醉未醒	直到
荷叶似侬鬓	鬓
荷花似侬妆	妆
夫婿常别离	别离
羞见双鸳鸯	双
扰扰都城晓又昏	晓
六街车马五侯门	门
箕山渭水空明月	月
可是巢由绝子孙	子孙
吹破春冰水放光	水
山花涧草百般香	香
身闲处处堪行乐	堪
何事低徊两鬓霜	何事
涌金门外断红尘	断
衣锦城边著白苹	城边
不到西湖看山色	西湖
定应未可作诗人	诗人
深林拥苍翠	拥
绝巘顷陂陀	巘
便欲褰裳去	褰
乘风逸兴多	乘风
虎头带角人难措	虎头
石火电光须密布	须
假饶烈士荐应难	荐
懵底那能解回互	解
州里相过未厌频	相过
居然踪迹动星辰	动
当时多少辉煌者	当时
不画诸公画此人	画
陇西流水向西流	流水
自古相传到此愁	自古
添却征人无限泪	无限
怪来呜咽已千秋	千秋
有个安心法	法
无时不可行	行
只将今日事	今日
随分了今生	随分
醉里挥毫君不嗔	君
平生嗜酒见天真	平生
离觞曾为黄花满	曾
别日行看梅又新	新
不扫林间一迳开	林间
夜深留伴月皑皑	月
问谁踏我琼瑶碎	问
新有诗筒破晓来	破晓
匆匆十日事	十日
回首亦凄凉	回首
何处无芳草	芳草
行人休断肠	休
三处分携跨两年	跨
浮云生计本悠然	浮云
江山胜地端相待	江山
大有东南未尽缘	缘
寒光乍洗山川莹	洗
清影遥分草树纤	草树
万里更无云物动	万里
中天只有兔随蟾	中天
重阳过后雨垂垂	重阳
病怯新寒独立时	独立
菊有万株归未得	万株
一窗来此看花枝	花枝
江上晴天锦绣纹	江上
丹崖红树思纷纭	思
毫端染得秋无际	秋
犹是苍梧几片云	云
文正风流尚典刑	风流
桐江画戟见诗人	诗人
丹青难写真潇洒	丹青
圆峤方壶此逼真	逼真
骢骑闲行不用鞭	不用
绿阴原上草芊芊	绿阴
是谁催促春归去	春
却把金丸打杜鹃	杜鹃
长安深夜雪漫漫	雪
欲觅心安转不安	转
纵使言前开活眼	眼
那知已被老胡谩	谩
茅屋周回松竹阴	松
依稀气象似山林	山林
一窗风月生涯足	足
相与清名映古今	映
相看俱作白头翁	白头翁
出处规模自不同	出处
我走江湖作狂梦	梦
君能面壁课成功	成功
碧潭四绕水仙坟	水仙
老桂团团荫绿尊	团团
拚与故人偿一醉	故人
梅花吹梦过前村	梅花
即心即佛莫妄求	即心
非心非佛休别讨	休
红炉焰上雪花飞	飞
一点清凉除热恼	一点
海棠雨後不胜佳	雨
子细看来不是花	花
西子织成新样锦	锦
清晨濯出锦江霞	濯
前日满林红锦遍	遍
今日绕林看不见	今日
空馀古岸泥土中	空
零落胭脂两三片	零落
江上浮岚半有无	江上
轻烟淡荡月模糊	月
彭郎隔水休相唤	休
别是人间一小姑	人间
忆坐松根石	坐
相见说大还	相见
昆仑云一朵	云
唤作九华山	唤作
为怜风雨趣春回	风雨
故著秋花到处栽	栽
兰菊从来盛风味	风味
不妨环绕读书斋	读书
不知兀坐常轮转	坐
空下禅床绕一遭	空
背面却言亏一半	一半
老婆恶业自家招	招
手挥樵斧气如虹	樵
几树寒烟一饷空	空
午夜无依乌鹊冷	冷
数声应恨月明中	数声
欲挂衣冠神武门	挂
先寻水竹谓南村	谓
却将旧斩楼兰剑	旧
买得黄牛教子孙	买
秋灯点点淮阴市	点点
楚客连樯宿淮水	宿
夜深风起鱼鳖腥	夜深
韩信祠堂月明里	月明
老去居然懒出门	懒
故乡零落暗消魂	暗
岁寒道义唯松竹	岁寒
伴我东溪沙水村	伴
萧条腊后复春前	复
雪压霜欺未放妍	妍
昨日倚栏枝上看	枝上
似留芳意入新年	新年
折得寒香日暮归	折
铜瓶添水养横枝	养
书窗一夜月初满	一夜
却似小溪清浅时	清浅
净扫黄金阶	黄金
飞霜皎如雪	如雪
下帘弹箜篌	弹
不忍见秋月	不忍
芙蓉不及美人妆	芙蓉
水殿风来珠翠香	香
谁分含啼掩秋扇	分
空悬明月待君王	明月
南浦随花去	南浦
回舟路已迷	路
暗香无处觅	觅
日落板桥西	西
视草行看赐上樽	樽
浊醪付我酹嶙峋	付
扶携谁共山前醉	醉
从此无君度外人	度
著屐溪头日日过	日日
骊驹歌断奈君何	骊驹
虎丘山下东流水	流水
争似春愁一半多	一半
千峰雨雪时	千峰
别我情何极	情何
不知天地间	间
更有谁相识	相识
九重天上星三点	天上
万顷波心月一钩	月
醉有百篇来笔下	醉
愁无半点到眉头	愁
开帘见新月	新月
便即下阶拜	下阶拜
细语人不闻	细语
北风吹裙带	吹
烛光花影两相宜	相宜
占断风光二月时	风光
但得常如妃子醉	醉
何妨独欠少陵诗	诗
四山如画不胜奇	如画
朝暮烟云都是诗	诗
楼上吟声穿碧落	穿
天公罚我鬓成丝	丝
宿雨初乾一杖藜	杖藜
欲呼渔艇访前溪	前溪
碧桃花落无寻处	花落
惆怅人间日又西	日
幽人自爱山中宿	山中
又近葛洪丹井西	西
窗中有个长松树	松树
半夜子规来上啼	啼
今年六月不胜凉	凉
七月炎蒸不可当	不可
一阵秋风初过雨	雨
个般天气好烧香	天气
柳堤九曲暗青丝	暗
画戟丛中昼影迟	昼
传说姑苏新乐府	新
只缘太守例能诗	能诗
种玉餐芝术不传	术
金丹下手更茫然	金丹
陶公妙诀吾曾受	曾
但听松风自得仙	仙
步屧寻僧到日西	寻僧
乱山深处见新碑	深处
却惊天上披风手	惊
亦卷波澜入小诗	卷
古寺疏锺隔断烟	烟
馆娃宫殿草芊芊	宫殿
多情却有松萝月	月
只与当时一样圆	当时
买得湖阴数顷秋	秋
斩新窗户府清流	新
了无俗子溷人意	人意
况有清尊浇客愁	浇
路穿岩窦折羊肠	路
处处亭台御墨香	亭台
流水不随人事去	流水
尚余丝竹旧宫商	旧
春风相引与诗情	春风
江上闲冲细雨行	行
最感横山山上塔	山上
几回相送复相迎	送
日落疏林度小桥	度
天寒岁晚路迢遥	路
道人已是归心急	急
更为梅花住一宵	梅花
手捻琪花吹玉萧	手
至人长与道逍遥	道
黄云白鹤无拘束	黄云
閒看吴儿弄晚潮	弄
万柄高荷碧玉圆	圆
芙蓉时见一枝鲜	一枝
何年种此北山北	北
便向中间安小船	安
直指岭头路	路
宁论几日回	日回
寻春有消息	消息
寄我一枝梅	寄
秋声又向耳边鸣	鸣
转眼平头六十人	人
最是读书难久坐	难
不甘空负百年身	身
鸳鸯离别伤	鸳鸯
人意似鸳鸯	鸳鸯
试取鸳鸯看	鸳鸯
多应断寸肠	断
刘郎桃树欲挠春	春
一夜飘零最恼人	最
不似穷秋作霜露	霜露
摧残蒲柳有谁嗔	嗔
庭院薰风枕簟清	清
海榴初发雨初晴	雨初晴
